filename,steering,point_type,curr_steering
/content/dataset/2024-06-21_23-59-49-291989__sa_0.0000000000.png,0.0,0,0.0
/content/dataset/2024-06-21_23-59-50-231652__sa_0.0000000000.png,0.0,99,1e-10
/content/dataset/2024-06-21_23-59-50-255184__sa_-0.0050236502.png,-0.0050236502,99,-0.0004858127
/content/dataset/2024-06-21_23-59-50-260172__sa_-0.0100843096.png,-0.0100843096,99,-0.0014132485
/content/dataset/2024-06-21_23-59-50-278345__sa_-0.0151561847.png,-0.0151561847,99,-0.0027398237
/content/dataset/2024-06-21_23-59-50-284897__sa_-0.0202631617.png,-0.0202631617,99,-0.0044298058
/content/dataset/2024-06-21_23-59-50-301782__sa_-0.0253832469.png,-0.0253832469,99,-0.0064489869
/content/dataset/2024-06-21_23-59-50-308202__sa_-0.0305380368.png,-0.0305380368,99,-0.008768669
/content/dataset/2024-06-21_23-59-50-330182__sa_-0.0357047944.png,-0.0357047944,99,-0.0113607884
/content/dataset/2024-06-21_23-59-50-370767__sa_-0.0409186225.png,-0.0409186225,99,-0.0142034225
/content/dataset/2024-06-21_23-59-50-375754__sa_-0.0462095232.png,-0.0462095232,99,-0.0172796832
/content/dataset/2024-06-21_23-59-50-392470__sa_-0.0515093923.png,-0.0515093923,99,-0.0205677307
/content/dataset/2024-06-21_23-59-50-398631__sa_-0.0568450403.png,-0.0568450403,99,-0.0240504464
/content/dataset/2024-06-21_23-59-50-525763__sa_-0.0093450403.png,-0.0093450403,99,-0.0129276417
/content/dataset/2024-06-21_23-59-50-549068__sa_-0.0143672361.png,-0.0143672361,99,-0.013065133
/content/dataset/2024-06-21_23-59-50-554601__sa_-0.0194239802.png,-0.0194239802,99,-0.0136739746
/content/dataset/2024-06-21_23-59-50-572688__sa_-0.0244937882.png,-0.0244937882,99,-0.0147093822
/content/dataset/2024-06-21_23-59-50-579469__sa_-0.0296027551.png,-0.0296027551,99,-0.0161336094
/content/dataset/2024-06-21_23-59-50-599310__sa_-0.0347222385.png,-0.0347222385,99,-0.0179098834
/content/dataset/2024-06-21_23-59-50-604842__sa_-0.0398825417.png,-0.0398825417,99,-0.0200079687
/content/dataset/2024-06-21_23-59-50-623676__sa_-0.0450528331.png,-0.0450528331,99,-0.0223975975
/content/dataset/2024-06-21_23-59-50-659887__sa_-0.0502607932.png,-0.0502607932,99,-0.0250541292
/content/dataset/2024-06-21_23-59-50-678062__sa_-0.0555404172.png,-0.0555404172,99,-0.0279586026
/content/dataset/2024-06-21_23-59-50-685066__sa_-0.0608570819.png,-0.0608570819,99,-0.0310905451
/content/dataset/2024-06-21_23-59-50-701586__sa_-0.0661878147.png,-0.0661878147,99,-0.034429261
/content/dataset/2024-06-21_23-59-50-769515__sa_-0.0186878147.png,-0.0186878147,99,-0.0321142125
/content/dataset/2024-06-21_23-59-50-787761__sa_-0.0236977901.png,-0.0236977901,99,-0.0312872576
/content/dataset/2024-06-21_23-59-50-792807__sa_-0.0287441993.png,-0.0287441993,99,-0.0310248242
/content/dataset/2024-06-21_23-59-50-810430__sa_-0.0338007588.png,-0.0338007588,99,-0.031271155
/content/dataset/2024-06-21_23-59-50-816919__sa_-0.0388935714.png,-0.0388935714,99,-0.0319794664
/content/dataset/2024-06-21_23-59-50-834420__sa_-0.0439964285.png,-0.0439964285,99,-0.0331055092
/content/dataset/2024-06-21_23-59-50-840372__sa_-0.0491361518.png,-0.0491361518,99,-0.0346121646
/content/dataset/2024-06-21_23-59-50-857680__sa_-0.0542858477.png,-0.0542858477,99,-0.0364634048
/content/dataset/2024-06-21_23-59-50-863721__sa_-0.0594741502.png,-0.0594741502,99,-0.0386294953
/content/dataset/2024-06-21_23-59-50-883707__sa_-0.0646745348.png,-0.0646745348,99,-0.0410810252
/content/dataset/2024-06-21_23-59-50-890688__sa_-0.0699129000.png,-0.0699129,99,-0.0437939507
/content/dataset/2024-06-21_23-59-50-909575__sa_-0.0751654458.png,-0.0751654458,99,-0.046744266
/content/dataset/2024-06-21_23-59-50-916768__sa_-0.0804555387.png,-0.0804555387,99,-0.0499125712
/content/dataset/2024-06-21_23-59-51-624221__sa_-0.0029555387.png,-0.0029555387,99,-0.003941919
/content/dataset/2024-06-21_23-59-51-642325__sa_-0.0079665318.png,-0.0079665318,99,-0.0043252259
/content/dataset/2024-06-21_23-59-51-666134__sa_-0.0130251555.png,-0.0130251555,99,-0.005149438
/content/dataset/2024-06-21_23-59-51-671687__sa_-0.0181200390.png,-0.018120039,99,-0.0063727226
/content/dataset/2024-06-21_23-59-51-691450__sa_-0.0232261615.png,-0.0232261615,99,-0.0079566095
/content/dataset/2024-06-21_23-59-51-696337__sa_-0.0283713384.png,-0.0283713384,99,-0.0098698933
/content/dataset/2024-06-21_23-59-51-715671__sa_-0.0335264921.png,-0.0335264921,99,-0.0120819469
/content/dataset/2024-06-21_23-59-51-721654__sa_-0.0387203884.png,-0.0387203884,99,-0.0145680232
/content/dataset/2024-06-21_23-59-51-739590__sa_-0.0439251776.png,-0.0439251776,99,-0.0173030986
/content/dataset/2024-06-21_23-59-51-745414__sa_-0.0491679211.png,-0.0491679211,99,-0.0202671832
/content/dataset/2024-06-21_23-59-51-807193__sa_-0.0166679211.png,-0.0166679211,99,-0.0213573199
/content/dataset/2024-06-21_23-59-51-813755__sa_-0.0217070332.png,-0.0217070332,99,-0.0213675034
/content/dataset/2024-06-21_23-59-51-832780__sa_-0.0267572832.png,-0.0267572832,99,-0.0218557725
/content/dataset/2024-06-21_23-59-51-837814__sa_-0.0318455830.png,-0.031845583,99,-0.0227759865
/content/dataset/2024-06-21_23-59-51-857223__sa_-0.0369438558.png,-0.0369438558,99,-0.024086114
/content/dataset/2024-06-21_23-59-51-863156__sa_-0.0420830336.png,-0.0420830336,99,-0.0257522539
/content/dataset/2024-06-21_23-59-51-914830__sa_-0.0472320838.png,-0.0472320838,99,-0.0277411804
/content/dataset/2024-06-21_23-59-51-963360__sa_-0.0147320838.png,-0.0147320838,99,-0.0246523548
/content/dataset/2024-06-21_23-59-51-982380__sa_-0.0197439241.png,-0.0197439241,99,-0.0241744462
/content/dataset/2024-06-21_23-59-51-987613__sa_-0.0247942896.png,-0.0247942896,99,-0.0242200591
/content/dataset/2024-06-21_23-59-52-006712__sa_-0.0298546233.png,-0.0298546233,99,-0.0247359044
/content/dataset/2024-06-21_23-59-52-012201__sa_-0.0349531569.png,-0.0349531569,99,-0.0256789798
/content/dataset/2024-06-21_23-59-52-031255__sa_-0.0400629067.png,-0.0400629067,99,-0.0270089353
/content/dataset/2024-06-21_23-59-52-037292__sa_-0.0452105641.png,-0.0452105641,99,-0.0286923397
/content/dataset/2024-06-21_23-59-52-055916__sa_-0.0503701935.png,-0.0503701935,99,-0.030696598
/content/dataset/2024-06-21_23-59-52-062587__sa_-0.0555671353.png,-0.0555671353,99,-0.032994718
/content/dataset/2024-06-21_23-59-52-080404__sa_-0.0607760019.png,-0.0607760019,99,-0.0355598331
/content/dataset/2024-06-21_23-59-52-085864__sa_-0.0660228639.png,-0.0660228639,99,-0.0383701864
/content/dataset/2024-06-21_23-59-52-136170__sa_-0.0335228639.png,-0.0335228639,99,-0.0387845586
/content/dataset/2024-06-21_23-59-52-155378__sa_-0.0385328412.png,-0.0385328412,99,-0.0387114199
/content/dataset/2024-06-21_23-59-52-160397__sa_-0.0435812368.png,-0.0435812368,99,-0.0391236818
/content/dataset/2024-06-21_23-59-52-179327__sa_-0.0486417074.png,-0.0486417074,99,-0.0399720769
/content/dataset/2024-06-21_23-59-52-230013__sa_-0.0537380004.png,-0.0537380004,99,-0.0412167687
/content/dataset/2024-06-21_23-59-52-239970__sa_-0.0589367070.png,-0.058936707,99,-0.0428292204
/content/dataset/2024-06-21_23-59-52-257187__sa_-0.0641532955.png,-0.0641532955,99,-0.0447758439
/content/dataset/2024-06-21_23-59-52-262692__sa_-0.0694052396.png,-0.0694052396,99,-0.0470281258
/content/dataset/2024-06-21_23-59-52-311287__sa_-0.0369052396.png,-0.0369052396,99,-0.0450592803
/content/dataset/2024-06-21_23-59-52-328748__sa_-0.0419142680.png,-0.041914268,99,-0.044710735
/content/dataset/2024-06-21_23-59-52-333685__sa_-0.0469601188.png,-0.0469601188,99,-0.0448733204
/content/dataset/2024-06-21_23-59-52-351685__sa_-0.0520158997.png,-0.0520158997,99,-0.0454949979
/content/dataset/2024-06-21_23-59-52-356687__sa_-0.0571077204.png,-0.0571077204,99,-0.0465336799
/content/dataset/2024-06-21_23-59-52-376156__sa_-0.0622115073.png,-0.0622115073,99,-0.0479501111
/content/dataset/2024-06-21_23-59-52-380145__sa_-0.0673502412.png,-0.0673502412,99,-0.0497114808
/content/dataset/2024-06-21_23-59-52-399172__sa_-0.0724999909.png,-0.0724999909,99,-0.0517859404
/content/dataset/2024-06-21_23-59-52-403717__sa_-0.0776847553.png,-0.0776847553,99,-0.054147037
/content/dataset/2024-06-21_23-59-52-422870__sa_-0.0828805404.png,-0.0828805404,99,-0.0567685194
/content/dataset/2024-06-21_23-59-52-428854__sa_-0.0881146364.png,-0.0881146364,99,-0.0596293007
/content/dataset/2024-06-21_23-59-52-523383__sa_-0.0556146364.png,-0.0556146364,99,-0.0602574281
/content/dataset/2024-06-21_23-59-52-528372__sa_-0.0607157922.png,-0.0607157922,99,-0.0602182699
/content/dataset/2024-06-21_23-59-52-546346__sa_-0.0658269210.png,-0.065826921,99,-0.060667512
/content/dataset/2024-06-21_23-59-52-551804__sa_-0.0709739327.png,-0.0709739327,99,-0.0615578429
/content/dataset/2024-06-21_23-59-52-576170__sa_-0.0761445708.png,-0.0761445708,99,-0.0628477293
/content/dataset/2024-06-21_23-59-52-581666__sa_-0.0813512979.png,-0.0813512979,99,-0.0645019504
/content/dataset/2024-06-21_23-59-52-599900__sa_-0.0865695343.png,-0.0865695343,99,-0.0664867304
/content/dataset/2024-06-21_23-59-52-604894__sa_-0.0918227448.png,-0.0918227448,99,-0.068773935
/content/dataset/2024-06-21_23-59-52-624546__sa_-0.0970868564.png,-0.0970868564,99,-0.0713357968
/content/dataset/2024-06-21_23-59-52-630529__sa_-0.1023903332.png,-0.1023903332,99,-0.0741499494
/content/dataset/2024-06-21_23-59-52-650519__sa_-0.1077067938.png,-0.1077067938,99,-0.0771936003
/content/dataset/2024-06-21_23-59-52-656450__sa_-0.1130612273.png,-0.1130612273,99,-0.0804485808
/content/dataset/2024-06-21_23-59-52-676767__sa_-0.1184305139.png,-0.1184305139,99,-0.0838962456
/content/dataset/2024-06-21_23-59-52-682320__sa_-0.1238384318.png,-0.1238384318,99,-0.0875220792
/content/dataset/2024-06-21_23-59-52-701678__sa_-0.1292581806.png,-0.1292581806,99,-0.0913103915
/content/dataset/2024-06-21_23-59-52-705980__sa_-0.1347145491.png,-0.1347145491,99,-0.0952494398
/content/dataset/2024-06-21_23-59-52-724969__sa_-0.1401828914.png,-0.1401828914,99,-0.0993262399
/content/dataset/2024-06-21_23-59-52-729954__sa_-0.1456872125.png,-0.1456872125,99,-0.1035314081
/content/dataset/2024-06-21_23-59-52-749168__sa_-0.1512025561.png,-0.1512025561,99,-0.1078540493
